event,start,finish
Aggressive Right Curve,9.5,12.5
Non-Aggressive,19,23
Aggressive Right Curve,91.6,94.9
Aggressive Right Curve,120.9,124.1
Aggressive Right Curve,135.4,139
Non-Aggressive,164,168
Non-Aggressive,187,190.5
Aggressive Right Curve,219.4,223.9
Aggressive Right Curve,232.6,236.7
Non-Aggressive,358,360.5
Aggressive Left Turn,412,416
Aggressive Left Turn,430.3,433.2
Aggressive Left Turn,447.4,450.7
Non-Aggressive,463.5,465.6
Aggressive Left Turn,496.1,499.2
Aggressive Left Turn,508.8,512
Aggressive Left Turn,531.6,534.4
