event,start,finish
Exchange Aggressive Right Lane,16.1,18.5
Exchange Aggressive Right Lane,25.1,27.6
Aggressive Breaking,141,143.3
Aggressive Breaking,151.3,153.2
Aggressive Breaking,165.9,168
Aggressive Breaking,220.6,222.6
Aggressive Breaking,234,236.2
Aggressive Breaking,248.1,250.8
Aggressive Acceleration,288,290.6
Aggressive Acceleration,304.6,308.2
Aggressive Acceleration,324.8,329.1
Aggressive Acceleration,361,364.7
Aggressive Acceleration,379.6,384.5
Aggressive Acceleration,395.7,400.2
